1.00 | 1000  $021156 $aInnocenci $bIII, $cPapa $d(1160-1216) | 1000  $027858 $aInocencio $bIII $cPapa
1.00 | 1000  $021156 $aInnocenci $bIII, $cPapa $d(1160-1216) | 1000  $027858 $aInocencio $bIII, $cPapa
1.00 | 1000  $019481 $aCarles $bIX, $cRei de França | 7001  $06621 $aCarles $bVII $cRei de França $d1403-1461
* 10.10 | 1001  $aCormellas, Sebastián de $dm. 1654 | 7001  $019393 $aCormellas, Sebastián de $d15?-1654 $eed.imp.llib.
1.00 | 7001  $017166 $aPadovano, Giovanni, | 1001  $024175 $aPadovani, Giovanni
1.00 | 7000  $024934 $aNicolás de Lyra | 1000  $020609 $aNicolaus de Lyra $d(1270-1349)
1.00 | 7001  $017536 $aMarín, Antonio, $eed.imp.lib | 7001  $030384 $aMaris,  Antonio de $eimp.
1.00 | 7001  $017536 $aMarín, Antonio, $eed.imp.lib | 7001  $018327 $aMariz, Antonio de,
1.00 | 7000  $017791 $aCarlos $bIV, $cRey de España, $d1748-1819 | 1000  $04027 $aCarlos $bIII $cRey de España
1.00 | 7000  $017791 $aCarlos $bIV, $cRey de España, $d1748-1819 | 1000  $aCarlos $bIII $cRey de España
0.67 | 1000  $018288 $aCarlos $bI, $cRey de España, $d1500-1558 | 1000  $04027 $aCarlos $bIII $cRey de España
0.67 | 1000  $018288 $aCarlos $bI, $cRey de España, $d1500-1558 | 1000  $aCarlos $bIII $cRey de España
0.67 | 7000  $018288 $aCarlos $bI, $cRey de España, $d1500-1558 | 1000  $04027 $aCarlos $bIII $cRey de España
0.67 | 7000  $018288 $aCarlos $bI, $cRey de España, $d1500-1558 | 1000  $aCarlos $bIII $cRey de España
1.00 | 1000  $018495 $aHeródoto, $d484-425 a. C. | 7000  $020952 $aHeròdot, $eaut.
1.00 | 1001  $025392 $aCasanova, Juan de | 7001  $033811 $aCanova, Juan de
1.00 | 7001  $025392 $aCasanova, Juan de | 7001  $033811 $aCanova, Juan de
0.50 | 7001  $05656 $aPérez, Miquel | 7001  $020801 $aMiquel, Pere, $eed.imp.lib
0.67 | 1101  $032881 $aInglaterra. $bRey (1685-1688: Jacobo II) | 1101  $032878 $aInglaterra. $bRey (1685-1688, Jacobo II)
0.50 | 1001  $014943 $aLópez Grigera, Luisa $d1926- | 1001  $012107 $aLópez-Grigera, Luisa
0.67 | 7001  $019470 $aMuñoz, Alfonso $c(O.P.), | 7001  $019470 $aMuñoz, Alfonso $c(O.P.), $earregl.
0.50 | 7001  $02275 $aTissot, J. $d1750?-1826 $etrad. | 7001  $035199 $aTissot, M.J.
1.00 | 7001  $026505 $aPérez de Estupiñán, Diego | 7001  $026326 $aPérez Estupiñán, Diego
0.50 | 1001  $06205 $aZacut, Abraham ben Samuel $d1450-1522 | 1001  $032025 $aZacuto, Abraham ben Samuel, $dn. ca. 1450
1.00 | 7001  $07649 $aMartín, Carlos $edir. | 1000  $04480 $aMartínez, Carlos
0.50 | 1001  $aDurant, Jean Etienne $d1534-1589 | 1001  $aDuranti, Jean Etienne $d(1534-1589)
1.00 | 1000  $aAdrià $bVI $cPapa | 1000  $023922 $aAdriano $bVI $cPapa
1.00 | 7001  $04350 $aJofre, Joan $eimpr. | 7001  $019328 $aJofré, Juan, $eed.lit.
1.00 | 7001  $029025 $aCórdoba, Ana María | 7001  $025795 $aCórdoba, Juana de
1.00 | 7001  $07941 $aLacavallería, Antonio de | 7001  $aLacavelleria, Antonio,
1.00 | 7001  $036366 $aManthen, Johann $d1471-1481 $eimp. | 7001  $020897 $aManthen, Johannes, $eed.imp.lib
1.00 | 7001  $028534 $aMenescal, Miguel $eed. | 7001  $033519 $aManescal, Miguel $d(1663-1742) $eimp.
1.00 | 7001  $028534 $aMenescal, Miguel $eed. | 7001  $024810 $aManescal, Miguel $eed.
1.00 | 1001  $021206 $aCevallos, José | 7001  $026755 $aCeballos, José
1.00 | 7001  $07941 $aLacavallería, Antonio de $eimp. | 7001  $aLacavelleria, Antonio,
0.67 | 7101  $032880 $aInglaterra $b.Rey (1685-1688 : Jacobo II) | 1101  $032878 $aInglaterra. $bRey (1685-1688, Jacobo II)
0.67 | 1101  $032880 $aInglaterra $b.Rey (1685-1688 : Jacobo II) | 1101  $032878 $aInglaterra. $bRey (1685-1688, Jacobo II)
1.00 | 7001  $011762 $aRibera, Julián $ecoaut. | 7001  $06998 $aRibera, Juan de $d1565-1622 $eimp.
0.50 | 7001  $06463 $aBarreira, Joao $eeditor | 7001  $024867 $aBarreira, Joó de
1.00 | 7001  $031811 $aPercazino, Grazioso $eimp. | 7001  $016448 $aPercacino, Grazioso, $eed.imp.lib
1.00 | 7001  $028328 $aMancelli, Antonio | 7001  $06231 $aMancinelli, Antonio, $d1452-1505 $eanot.
1.00 | 7001  $028328 $aMancelli, Antonio | 7001  $06231 $aMancinelli, Antonio, $d1452-1505
1.00 | 7001  $028328 $aMancelli, Antonio | 7001  $019855 $aMancinelli, Antonio $d(1452-ca.1505), $eed.lit.
1.00 | 7001  $07968 $aValero Juan, Eva M.® $edir. | 7001  $07968 $aValero Juan, Eva María
1.00 | 7001  $07968 $aValero Juan, Eva M.® $edir. | 1001  $07968 $aValero Juan, Eva María
0.50 | 7001  $06349 $aFerrer, Antoni $eimp. | 7001  $027348 $aFerrer, Antonio
* 10.10 | 1112  $026907 $aValencia (Diócesis). $qSínodo, $d1566 | 1112  $026912 $aValencia (Diócesis). $qSínodo, $d1590
1.00 | 1001  $023930 $aValleriola, François | 1001  $017218 $aValleriole, François, $d1504-1580.
1.00 | 7001  $032333 $aCánova, Juan de, $d1553-1569 $eimp | 1001  $025392 $aCasanova, Juan de
1.00 | 7001  $032333 $aCánova, Juan de, $d1553-1569 $eimp | 7001  $025392 $aCasanova, Juan de
* 10.10 | 1001  $021758 $aGutiérrez, Juan $dm. 1618 | 1001  $aGutiérrez, Juan $dfl. 1560-1569
1.00 | 1001  $016668 $aNúñez, Pedro Juan, $d1522-1602. | 1001  $016668 $aNúñez, Pedro Juan, $d1522-1602.
1.00 | 7000  $018317 $aClemente $bIV, $cPapa. | 7000  $026414 $aClemente $bIX, $cPapa, $d1600-1669
1.00 | 7001  $07346 $aLiberós, Esteban $d1613-1645 $eimp. | 7001  $027144 $aLibetos, Esteban
0.50 | 7000  $019884 $aSixt $bV, $cPapa $d(1520-1590), | 7000  $024575 $aSixto $bV, $cPapa, $d1520-1590
1.00 | 7001  $04350 $aJofre, Joan $eed.imp.lib | 7001  $019328 $aJofré, Juan, $eed.lit.
0.50 | 1001  $020231 $aHorozco y Covarrubias, Juan de $d(ca.1540-1608) | 1001  $017606 $aOrozco y Covarrubias, Juan de.
1.00 | 1000  $019972 $aDiògenes de Laerci | 1000  $aDiógenes Laercio
1.00 | 1001  $017 $aBlasco Ibáñez, Vicente $d1867-1928 | 1001  $017 $aBlasco Ibáñez, Vicente $d1867-1928
1.00 | 1001  $026377 $aColazo, Antonio | 7001  $026243 $aColaço, Antonio
1.00 | 1001  $031981 $aBorro, Girolamo, $d1512-1592 | 7001  $06213 $aPorro, Girolamo
1.00 | 7001  $05287 $aQuiñones, María de $eimp. | 7001  $022138 $aQuiñones, Maria de, $eimp.
0.50 | 1001  $027527 $aGranados, Diego (S.I.) | 1001  $026232 $aGranado, Diego (S.I.)
0.50 | 1001  $027527 $aGranados, Diego (S.I.) | 7001  $026232 $aGranado, Diego (S.I.)
1.00 | 7001  $011762 $aRibera, Julián $ecoaut. | 7001  $06998 $aRibera, Juan de $d1565-1622 $eimp.
0.67 | 7001  $018782 $aGruz Bagay, Nicolás de la, $eimp. $c(Manila) | 7001  $018820 $aCruz Bagay, Nicolás de la, $eed. $c(Manila)
1.00 | 7001  $035575 $aTorá, José $etrad. | 1001  $aOrga, José de $d1738-1809
1.00 | 7001  $035575 $aTorá, José $etrad. | 7001  $017593 $aOrga, José de $d1738-1809 $eed.imp.lib
1.00 | 7001  $035575 $aTorá, José $etrad. | 7001  $014603 $aOrga, José $eimp.
1.00 | 7001  $035575 $aTorá, José $etrad. | 7001  $017593 $aOrga, José de $d1738-1809
1.00 | 7000  $023074 $aUrbano $bVIII, $cPapa, $d1568-1644 | 7000  $010065 $aUrbano $bII $cPapa
1.00 | 7000  $023074 $aUrbano $bVIII, $cPapa, $d1568-1644 | 7000  $022046 $aUrbà VIII, $cPapa $d(1568-1644)
1.00 | 7000  $023074 $aUrbano $bVIII, $cPapa, $d1568-1644 | 7000  $022046 $aUrbà VIII, $cPapa $d(1568-1644)
1.00 | 1000  $023074 $aUrbano $bVIII, $cPapa, $d1568-1644 | 7000  $010065 $aUrbano $bII $cPapa
1.00 | 1000  $023074 $aUrbano $bVIII, $cPapa, $d1568-1644 | 7000  $022046 $aUrbà VIII, $cPapa $d(1568-1644)
1.00 | 1000  $023074 $aUrbano $bVIII, $cPapa, $d1568-1644 | 7000  $022046 $aUrbà VIII, $cPapa $d(1568-1644)
1.00 | 7001  $019554 $aPescione, Andrea, $eed.imp.lib | 7001  $031692 $aPescioni, Andrea, $d1490-1546 $eimp.
1.00 | 7001  $019554 $aPescione, Andrea, $eed.imp.lib | 7001  $032224 $aPescioni, Andréa, $d1490-1546 $eimp.
1.00 | 7001  $07682 $aMoreno, Joan $ecoaut. | 7001  $017875 $aMoreno, Juan, $ds.18, $eil.
0.67 | 7001  $018630 $aLoureiro, Diogo Gomes de, $eimp. $c(Coimbra) | 7001  $018326 $aLoureiro, Diego Gomes de, $eimp., $c(Coimbra)
1.00 | 7001  $020054 $aMota, Pedro, $eed.lit. | 1001  $01200 $aMata, Pedro $d1811-1877
1.00 | 7001  $027106 $aRodriguez, Bernardino | 1001  $aRodríguez, Bernardo, $dn.1756
1.00 | 7001  $017152 $aPonzetti, Ferdinando. | 1001  $032572 $aPonzetto, Ferdinando, $dm.1528
1.00 | 7001  $029450 $aBlas de Quesada, Florencio José | 7001  $029332 $aBlas y Quesada, Florencio José de $e, imp
1.00 | 7001  $033151 $aOrozco, Juan de | 7001  $033295 $aOrosco, Juan de
0.50 | 7001  $06260 $aVilagrasa, Jerónimo | 7001  $021016 $aVillagrasa, Jerónimo $d(fl. 1651-1675), $eimp.
0.50 | 7001  $06260 $aVilagrasa, Jerónimo | 7001  $021016 $aVillagrasa, Jerónimo $d(fl. 1651-1675), $eed.imp.lib.
0.67 | 1001  $027599 $aMonterrey y de Fuentes, Manuel de Fonseca y Zúñiga, $cConde de | 1001  $027600 $aMonterrey y de Fuentes, Manuel de Fonseca y Zúniga, $cConde de
0.67 | 1001  $027599 $aMonterrey y de Fuentes, Manuel de Fonseca y Zúñiga, $cConde de | 1001  $027603 $aMonterrey y Fuentes, Manuel de Fonseca y Zúniga, $cConde de
0.67 | 1001  $027599 $aMonterrey y de Fuentes, Manuel de Fonseca y Zúñiga, $cConde de | 7001  $027600 $aMonterrey y de Fuentes, Manuel de Fonseca y Zúniga, $cConde de
1.00 | 7001  $016493 $aMelanchton, Philipp, $d1497-1560. $tEncomium Medicinae, docto quodam autore. | 1001  $027869 $aMelanchton, Philippus
0.50 | 7001  $016493 $aMelanchton, Philipp, $d1497-1560. $tEncomium Medicinae, docto quodam autore. | 7001  $024794 $aMelanchthon, Philipp, $d1497-1560
1.00 | 7001  $029332 $aBlas y Quesada, Florencio José de $eimp | 7001  $029450 $aBlas de Quesada, Florencio José
1.00 | 7001  $029332 $aBlas y Quesada, Florencio José de $eimp | 7001  $029450 $aBlas de Quesada, Florencio José $eimp.
0.50 | 7001  $023935 $aLeconte, Antoine, $d1517-1586 | 7001  $017519 $aLe Conte, Antoine, $d1526?-1586 $eed. lit.
0.50 | 7001  $023935 $aLeconte, Antoine, $d1517-1586 | 7001  $017519 $aLe Conte, Antoine, $d1526?-1586
0.50 | 7001  $023935 $aLeconte, Antoine, $d1517-1586 | 7001  $017519 $aLe Conte, Antoine, $d1526?-1586, $eed. lit.
1.00 | 7001  $026024 $aHazanis, Lázaro de | 7001  $032071 $aGazanis, Lázaro de $eed.
0.50 | 7001  $031918 $aAcciaioli , Donato, $d1428-1478 $etr. | 7001  $019657 $aAcciaiuoli, Donato $d(1429-1478),
1.00 | 1001  $032628 $aLara, Francisco de ( $dfl. 1737) | 7001  $06218 $aLyra, Francisco de $eimp.
1.00 | 1001  $032628 $aLara, Francisco de ( $dfl. 1737) | 7001  $06218 $aLyra, Francisco de $eed.
1.00 | 1001  $032628 $aLara, Francisco de ( $dfl. 1737) | 7001  $032964 $aLira, Francisco de $e, imp
1.00 | 1001  $019096 $aBandinelli, Antonio. | 1001  $019508 $aBendinelli, Antonio
1.00 | 7001  $019096 $aBandinelli, Antonio. | 1001  $019508 $aBendinelli, Antonio
1.00 | 7001  $019989 $aFranceschi, Francesco de $d(fl.1561-1599), $eed.imp.lib | 7001  $032387 $aFranceschini, Francesco $eEd.
0.50 | 7001  $020285 $aScotto, Girolamo, $eeditor | 7001  $016427 $aScoto, Girolamo, $eimp
1.00 | 7001  $020285 $aScotto, Girolamo, $eeditor | 7001  $032545 $aScotti, Girolamo $eimp.
0.50 | 1001  $024706 $aDurant, Jean Etienne $d1534-1589 | 1001  $aDuranti, Jean Etienne $d(1534-1589)
1.00 | 7001  $017459 $aCalderino, Domizio. | 7001  $023755 $aCalderini,  Domizio
1.00 | 7001  $016521 $aÍñiguez de Lequerica, Juan, $eed.imp.lib. | 7001  $031750 $aIñiguez de Lequerica, Juan, $d1570-1599
1.00 | 7001  $016521 $aÍñiguez de Lequerica, Juan, $eed.imp.lib. | 7001  $025948 $aIñíguez de Lequerica, Juan
1.00 | 1001  $032505 $aPío, Alberto, $d1475-1531? | 1001  $035908 $aRío, Alberto del
1.00 | 1001  $010375 $aBalmes, Jaime $d1810-1848 | 1001  $01123 $aBalmes, Jaume $d1810-1848
* 10.10 | 1001  $034702 $aSocini, Mariano, $d1401-1467 | 1001  $024343 $aSocini, Mariano, $d1482-1556
0.50 | 7001  $016036 $aPayen, Thibauld, $eimp., $c(Lyon) | 7001  $023333 $aPayen, Thibaud $eimp.
1.00 | 1001  $035646 $aBrisson, Bernabé, $d1531-1591 | 1001  $023639 $aBrisson, Barnabé, $d1531-1591
1.00 | 7001  $04424 $aCañas Murillo, Jesús $eanot. | 7001  $04424 $aCañas Murillo, Jesús $eanot.
1.00 | 1001  $032088 $aMaius, Iunianus | 1001  $024211 $aMaius, Junianus
0.50 | 7001  $06150 $aSacro Bosco, Joannes de $dfl 1230- $tSphaera | 7001  $020336 $aSacro Bosco, Johannes de $d(fl.1230) $tSphaera
0.50 | 7001  $06150 $aSacro Bosco, Joannes de $dfl 1230- $tSphaera | 1001  $020336 $aSacro Bosco, Johannes de $d(fl.1230)
1.00 | 1001  $020264 $aFlavi, Josef | 1001  $02106 $aJosefo, Flavio $dn. 37-38 d. C.
1.00 | 1001  $020264 $aFlavi, Josef | 7001  $02106 $aJosefo, Flavio $dn. 37-38 d. C.
1.00 | 1001  $010572 $aTola, Fernando $d1915- | 1001  $032251 $aSola, Fernando de
1.00 | 1001  $0632 $aMuñoz, Luis $d17ð | 1001  $aMuñoz, Luis $d17°
